construct,category,category_code,
Employer Expectations,Qualifications,QUAL-PREF,
Employer Expectations,Experience,EXP-PM-YRS,
Employer Expectations,Experience,EXP-AI-YRS,
Employer Expectations,Experience,EXP-INDUSTRY,
Employer Expectations,Role,EXP_ROLE,
Core Competencies,Project Management,PM-METHOD,
Core Competencies,Project Management,PM-RISK,
Core Competencies,Project Management,PM-PLAN,
Core Competencies,Project Management,PM-BUDGET,
Core Competencies,Project Management,PM-TOOL,
Core Competencies,Leadership and Soft Skills,SS-STAKEHOLDER,
Core Competencies,Leadership and Soft Skills,SS-LEADERSHIP,
Core Competencies,Leadership and Soft Skills,SS-CONFLICT,
Core Competencies,Domain and Business,CORE-BUSINESS,
Core Competencies,Adaptability,CORE-ADAPT,
Technical Competencies,Conceptual AI Knowledge,TECH-CONCEPT,
Technical Competencies,Hands-on Technical Skills,TECH-HANDSON,
Technical Competencies,Integration and Deployment,TECH-OPS,
Educational Attainment,Advanced Academic Degrees,EDU-ADV,
Educational Attainment,Professional Certifications,CERT-PM,
Educational Attainment,Professional Certifications,CERT-TECH,
Project Context,Ethical and Regulatory,CONTEXT-ETHIC,
Project Context,Ethical and Regulatory,CONTEXT-REG,
Project Context,Complexity,CONTEXT-COMPLEX,
