job_id,job_description,country
9d2e54bb2ffd305f,"Job Description

Position Overview:
AI Talent is a fast-growing force in the ICT sector, specialising in cutting-edge AI solutions that help organisations stay competitive in an evolving digital world. We’re looking for a seasoned and outcome-focused Senior ICT Project Manager to oversee the successful delivery of complex, end-to-end ICT projects, with a particular focus on AI initiatives. This leadership role involves managing cross-functional teams, driving strategic outcomes, and ensuring projects are delivered on time, within scope, and to a high standard.

The ideal candidate will bring a proven history of delivering large-scale projects, hands-on experience with AI-focused implementations, and the ability to thrive in dynamic, innovation-led environments.

Responsibilities:

Project Leadership: Lead and manage a team of project managers, ensuring effective collaboration, resource allocation, and overall project coordination within AI Talent

Project Planning: Develop comprehensive project plans, including scope definition, timelines, budgets, resource allocation, and risk management strategies tailored to AI-driven solutions

Stakeholder Management: Engage and communicate with project stakeholders, including clients, executives, team members, and external vendors, to ensure alignment, transparency, and informed decision-making throughout the AI project lifecycle

Risk Management: Identify potential risks specific to AI projects and implement proactive mitigation strategies. Monitor risk exposure and adjust plans as needed to minimise disruption

Project Execution: Oversee day-to-day execution of AI projects, ensuring adherence to timelines, scope, and financial parameters. Resolve project-specific issues promptly to maintain momentum

Quality Assurance: Ensure that project deliverables meet high-quality standards and stakeholder expectations, conducting regular evaluations and applying corrective actions where necessary

Communication: Drive clear, structured communication across AI Talent teams and stakeholders. Deliver status updates, reports, and presentations to senior leadership as required

Change Management: Manage changes in project scope, objectives, and timelines. Evaluate and communicate potential impacts to ensure continuity and stakeholder buy-in

Lessons Learned: Conduct detailed post-project evaluations to capture lessons learned and best practices. Use insights to continuously improve project delivery processes in the AI space

Team Development: Provide coaching, mentorship, and feedback to project team members. Foster a collaborative, learning-focused culture and support professional development within AI Talent

Requirements:

Bachelor’s degree in a relevant discipline; advanced degree highly regarded

Minimum of 2 years’ experience as a Senior ICT Project Manager, with a proven ability to lead and deliver complex, large-scale projects in the AI domain

Strong command of project management frameworks, tools, and methodologies tailored to AI projects

Exceptional leadership capabilities with the ability to inspire, coordinate, and guide multidisciplinary teams

Excellent communication and stakeholder engagement skills across all organisational levels

Solid foundation in risk management, change management, and quality assurance within tech-focused environments

Strategic and analytical thinking with a proactive, solution-focused approach to problem-solving

Comfortable working in high-pressure, fast-moving settings with multiple concurrent projects

Proficiency in widely used project management and collaboration tools (e.g., MS Project, JIRA, Trello, Confluence)

Project management certifications such as PMP, PRINCE2, or Agile (Scrum Master, SAFe) are highly desirable

Join AI Talent’s dynamic team and contribute to the successful delivery of transformative AI projects that accelerate business innovation and growth.

Permanent Residents (PR) and Australian Citizens are eligible to apply
Job Type: Full-time
Salary: $70,000 to $120,000 per year + Super

Job Types: Full-time, Permanent

Pay: $70,000.00 – $120,000.00 per year

Benefits:
* Work from home



Work Authorisation:
* Australia (Required)

Work Location: Hybrid remote in Sydney NSW 2000",Australia
6cf0c26fe2f42ee7,"Want to be part of the team?

We’re seeking Project Manager - M365 to join us on an initial 4 months contract, augmenting client’s project Hybrid in Melbourne CBD.

The project aims to educate users on the safe and effective use of Microsoft 365 Copilot. It will deliver education sessions, guidance on M365 optimisation, and support the broader adoption of AI capabilities.

Your day at NTT

Lead the delivery of the project in alignment with the department’s Project Delivery Methodology (PDM) based on PRINCE2 Agile.
Manage the full project lifecycle from initiation to operational handover.
Coordinate cross-functional teams including Business Analysis, Architecture, Development, and Testing.
Facilitate Agile ceremonies including sprint planning, reviews, and retrospectives.
Prepare and maintain project artefacts including:
Business Case and PID
Program Schedule and Status Reports
Budget Tracking and Change Requests
Deployment Plan and Operational Handover
Project Closure Report and Knowledge Transfer

What would make you a good fit for this role?

Proven experience in Project Management.
Experience in complex ICT environments.
Formal PM methodology experience (PRINCE2 or PMBOK).
Proven Agile/Scrum Master experience.
Strong stakeholder engagement, including reporting to executive-level Steering Committees.
Experience managing software development and/or COTS implementations.
Hands-on experience with Microsoft 365, including Copilot.
Financial oversight and budget management.

Join our growing global team and accelerate your career with us. Apply today.

For more information about this or other opportunities, please contact Shipra Aggarwal. Please quote our job reference number 656672.

About us

NTT Ltd. is a global ICT provider, employing more than 40,000 people in a diverse and dynamic workplace, and delivering services in over 200 countries and regions. We partner with organizations around the world to shape and achieve outcomes through intelligent technology solutions. For us, intelligent means data driven, connected, digital, and secure.

NTT is proud to be an equal opportunity employer with a global culture that embraces diversity. We are committed to providing an environment free of unfair discrimination and harassment. We do not discriminate based on age, race, color, sex, religion, national origin, disability, pregnancy, marital status, sexual orientation, gender reassignment, veteran status, or other protected category.",Australia
0897c721177d32eb,"Project Manager - AI and Data Engineering
Date: 14 Oct 2025
Location:

Perth, WA, AU

Department: Technology & Transformation
Description:

Job Requisition ID: 38973

Manager - AI & Data Team (Perth)

Discounted health insurance
Flexible work arrangements – work in a way that suits you best
CulturalFlex to observe your cultural and religious days of significance

Shape the Future of AI & Data at Deloitte!

Are you passionate about using data and AI to solve complex business challenges? At Deloitte, we help organisations harness the power of data-driven decision-making, cloud platforms, and machine learning to drive real impact.

As a Manager in our Perth-based AI & Data team, you will play a pivotal role in leading projects, collaborating with clients, and mentoring teams to deliver cutting-edge data solutions. We offer world-class training, career development, and flexible work arrangements to help you thrive.

What will your typical day look like?

In this role, you will combine technical expertise, project leadership, and client engagement to deliver impactful AI & Data solutions. Your responsibilities will include:

Delivering AI & Data Solutions – Lead the design, development, and deployment of AI, analytics, and cloud data solutions that drive value.
Managing Projects & Teams – Oversee project execution, ensuring timelines, budgets, and quality standards are met while coaching junior team members.
Engaging with Clients – Collaborate with leaders to understand their challenges and translate them into actionable AI & Data solutions.
Optimising Data Ecosystems – Work with cloud platforms (AWS, Azure, GCP) and modern data architectures to enhance scalability, efficiency, and performance.
Driving Continuous Improvement – Apply best practices in Agile methodologies, data governance, and AI/ML to ensure long-term client success.
Enhancing Deloitte’s AI & Data Capabilities – Contribute to thought leadership, internal knowledge sharing, and innovation within our AI & Data practice.

About the team: Our AI & Data team is a diverse group of over 500 specialists across Australia, partnering with clients in both public and private sectors to deliver cutting-edge solutions. We collaborate with leading technology providers such as AWS, Microsoft, Google, Snowflake, and Databricks, ensuring we stay at the forefront of emerging AI and data capabilities.

Enough about us, let’s talk about you.

You are a problem solver and team leader who thrives in a data-driven environment. You bring:

5+ years of experience in data analytics, AI, or data engineering, including project management and leadership experience.
Hands-on experience with cloud services (AWS, Microsoft Azure, or Google Cloud Platform), SQL, Python, and data visualization tools like Tableau or Power BI.
Knowledge of modern data platforms such as Databricks, Snowflake, and cloud-native AI/ML tools.
Tech specialist in AI and app development. Data Science exposure will be an added advantage
Strong stakeholder management skills—able to bridge technical and business perspectives.
Agile project management experience to ensure smooth execution of AI & Data projects.
A Bachelor’s or Master’s degree in Mathematics, Statistics, Engineering, Computer Science, or a related field.

Performance Expectations:

As a Manager, you will be responsible for delivering high-quality data projects, managing teams, and driving client success, aligned with Deloitte’s T&T Performance Expectations Framework. Your role will focus on:

Client Engagement & Project Leadership – Manage data-driven projects and ensure business impact.
Team Leadership & Development – Support junior consultants in technical delivery, career growth, and skill development.
Innovation & Thought Leadership – Contribute to Deloitte’s AI & Data community, staying ahead of emerging technologies.
Operational Excellence – Meet Quality & Risk Management standards, ensuring project efficiency and governance.

At Deloitte, we focus our energy on interesting and impactful work. We’re always learning, innovating and setting the standard; making a positive difference to our clients and our society. We put coaching at the heart of what we do, helping our people grow their careers in any direction – whether it be up, moving into something new, or even moving across the world.

We embrace diversity, equity and inclusion. We have a diverse collection of people from different backgrounds, with different experiences, gender identities, abilities and thinking styles. What binds us together is a shared commitment to value everyone’s perspective and to cultivate inclusion; so that our work environment is a safe space we can all belong.

We prioritise flexibility and choice. At Deloitte, you get trust on Day 1. We know our people get their best work done when they’re in control of where and how they work, designing their work week around their client, team and personal commitments.

We help you live and work well. To support your personal and professional life, we offer a range of perks and benefits:",Australia
4352450567,"Ready to lead ambitious AI projects that actually make an impact? As a Senior Project Manager – AI Solutions, you’ll own the delivery of complex, custom AI solutions for our customers, working in a fast-moving scale-up where initiative, ownership, and curiosity are celebrated. You’ll sit at the intersection of project delivery, customer partnership, and commercial thinking — turning big ideas into real-world outcomes while helping our customers (and our business) grow. The RoleAs a Senior Project Manager – AI Solutions, you will lead the delivery of complex, custom AI solution projects for customers primarily based in Australia, with the opportunity to support projects across the wider APAC region. This role sits within a fast-growing, scale-up environment and requires a high level of ownership, initiative, and accountability.You will be responsible for managing the full project lifecycle, from initiation through delivery and ongoing customer engagement. Acting as the primary point of contact, you will ensure projects are delivered to a high standard while maintaining strong customer relationships and identifying opportunities for commercial growth, including upsells and renewals. What you’ll doLead, manage, and maintain the end-to-end lifecycle of large and complex projects, with a strong focus on custom AI solution delivery.Plan and manage project scope, timelines, milestones, resourcing, execution, and delivery.Act as the primary point of contact for customers.Ensure projects are delivered on time, within scope, and within budget.Identify, assess, and mitigate project risks.Maintain a strong understanding of customer needs and objectives.Own the commercial relationship during delivery, identifying upsell and renewal opportunities.Coordinate cross-functional collaboration.Continuously improve project management processes.Operate confidently in a start-up / scale-up environment.Represent and promote the Quinyx culture and values.✅ What we’re looking forExtensive experience managing complex SaaS or AI-driven projects.Experience delivering projects for Australian customers, with exposure to APAC environments considered a strong advantage.Strong commercial mindset, with the ability to manage project financials, understand commercial drivers, and balance customer value with business outcomes throughout the project lifecycle.Demonstrated experience identifying and progressing upsell, renewal, and scope expansion opportunities within existing customer engagements.Proven ability to own and influence commercial conversations with customers, including managing expectations around scope, timelines, and commercial impact.Extensive consulting experience in managing and driving projects in dynamic, fast-paced environments.Be amazing at developing effective working relationships internally across a variety of levels, functions, and geographies.Highly organised and analytical, with a talent for overcoming obstacles through innovative and adaptive problem-solving.Proactive self-starter with the ability to quickly grasp complex concepts and operate with a high degree of autonomy.If you also have the following, we consider it a plus:Ability to step beyond traditional Senior Project Management responsibilities and support a light commercial/account ownership role when required.Confidence in owning renewal conversations and contributing to customer retention through strong relationships and successful project outcomes.Ability to articulate and demonstrate the value of delivered solutions, supporting expansion opportunities and, where appropriate, engaging with prospective customers to showcase outcomes and impact. Why Quinyx?Quinyx is a leading workforce management platform, helping businesses simplify scheduling, optimise staffing, and engage their frontline teams. We empower organisations across the globe—ranging from retail and hospitality to logistics and healthcare—with smart, mobile-first solutions.Here, you’ll find:A truly international team with colleagues from all over the world A flexible and hybrid-friendly work culture Opportunities to grow, take ownership, and make a real impact An open, inclusive, and fun environment where your ideas matter  What we offerFlexible work hours and a hybrid setup with at least 2 days from the office.Enhanced vacation allowance, gym membership contribution, health insurance and a pension plan.On-market pay. How to apply & Our processReady to join the team? Submit your application below, and we’ll be in touch as soon as possible. We’re excited to hear from you! What our hiring process looks like:Fill out a short applicationGet invited to complete our psychometric and objective assessments through Alva LabsCulture interview with our Talent teamMeet the hiring managerPanel PresentationFinal interviewReferences & background checks Quinyx is an equal opportunity employerWe celebrate diversity and are committed to creating an inclusive environment for all employees - no matter your background, identity, or experience.Happy Workforce, Happy Business!",Australia
4330383036,"Job Type: Permanent - Full TimeLocation: SydneyJob Category: Delivery ManagementQuantium is a global leader in data science and artificial intelligence, at the forefront of the AI revolution transforming business worldwide. Since 2002, we have grown into an international team of over 1,200 AI and data specialists across 14 locations, delivering cutting-edge AI solutions and advanced analytics. Through strategic partnerships with leading corporations, Quantium drives innovation and helps organizations transform their operations through intelligent data-driven insights.Role SummaryAre you passionate about turning AI ambition into real-world outcomes? As a Senior Technical Program Manager - AI & Client Delivery, you will lead the delivery of complex, AI-driven programs for enterprise clients, working at the intersection of technology, delivery, and commercial outcomes.This is a hands-on, senior individual contributor role within Technology and Delivery. You will partner closely with engineers, analysts, and client stakeholders to bring structure, clarity, and momentum to AI initiatives where scope and solutions may evolve over time. You will be accountable for delivery planning, governance, risk management, and execution, while acting as a trusted delivery partner for clients.This role is not a traditional IT project manager or PMO role, and it is not pure management consulting. It suits someone who is credible with technical teams, comfortable navigating ambiguity, and confident balancing delivery excellence with client engagement and commercial considerations.This role plays a key part in Quantium’s continued growth in AI-led client delivery, helping translate advanced AI capability into tangible, high-impact outcomes. How will you make an impact?  Lead AI client delivery: Own the end-to-end delivery of complex AI and data programs for enterprise clients, from early definition through execution and delivery.  Bring structure to ambiguity: Translate evolving client needs and technical complexity into clear delivery plans, governance rhythms, and execution frameworks.  Partner with technical teams: Work closely with engineers and analysts to align delivery plans with technical realities, dependencies, and constraints.  Manage delivery risk: Identify, communicate, and manage delivery, dependency, resourcing, and commercial risks throughout the lifecycle of programs.  Client engagement: Act as a primary delivery point of contact for clients, managing expectations, progress updates, and delivery trade-offs.  Drive outcomes: Ensure programs deliver value against agreed timelines, scope, and commercial parameters.  Enable strong collaboration: Foster effective cross-functional ways of working across technology, data, product, and client teams.  The superpowers you will bring to the team  Proven experience leading the delivery of complex, technical, and data-driven programs, ideally in AI, data, or emerging technology environments.  Strong understanding of how engineering and analytics teams build and deliver software and AI solutions.  Experience operating in client-facing or consulting-style delivery environments, with confidence engaging senior stakeholders.  Sound commercial judgment, with experience managing trade-offs across scope, cost, value, risk, and timelines.  Comfort working in ambiguous, fast-moving environments and creating clarity where it does not exist upfront.  Pragmatic delivery mindset, applying the right level of structure and process to enable execution rather than slow it down.  Hands-on experience with delivery and collaboration tools such as Jira and Confluence. What could your Quantium Experience look like?Working at Quantium will allow you to challenge your imagination. You will get to solve complex problems using rigor, precision and by asking great questions – but it also means you can think big, outside the box and push your problem-solving skills to the max.By Joining The Quantium Team, You’ll Get To Forge your path: So many of our team have moved around different teams or offices. You’ll be in the driver’s seat, and we empower you to make your career your own.  Find your kind: Embrace diversity and connect with your tribe (think foodies, dog lovers, readers, or runners).  Make an impact: Leave your mark. Your contributions resonate, regardless of your role, tenure or level. But wait, there's more! We've got some pretty sweet perks: Flexible work arrangements: Achieve work life balance at your own pace with hybrid and flexible work arrangements.  Remote working: Embrace the opportunity to work outside of your assigned home location for up to 2 months every year.  Competitive remuneration: We know our team go above and beyond, which is why we reward our team with market leading remuneration (including an attractive annual bonus scheme).  Discounts and perks: Enjoy access to a range of generous discounts from Woolworths, exclusive banking products, health insurance and novated leasing. Ready to join a team of smart, unique people who are passionate about what they do? At Quantium, you'll find a place where everyone belongs and work that is intellectually stimulating. So, if you're ready to make an impact and grow professionally, we want to hear from you!Apply now and let's forge a better, more intelligent world together!Quantium’s recruitment process involves the collection and use of personal information. Please click on the link “Privacy” for Quantium’s Collection Notice. This provides information on how we collect, use & store your personal information, including potential disclosure to our majority shareholder, Woolworths Group Limited.",Australia
4304076340,"YOUR IMPACTAs a project manager you make sure that the goals and outcomes of your project are closely aligned with the needs and wishes of the client while monitoring resources, timelines and technological and other requirements. You will work with teams of highly-talented machine learning engineers delivering cutting-edge AI solutions with positive impact.Identify requirements with clients and stakeholders using ideation and prioritization techniques (e.g. interviews, workshops, refinements…)Translate client’s requirements and preferences into tangible goals for the technical teamCreate task backlog and planningCheck deliverables and follow up resource planning, timelines and budgetsSet up and coordinate meetings with stakeholders and technical expertsSafeguard user, technical, legal, ethical, security and other requirementsEffectively pitch solutions, present results - adjust complex technical messaging to the audience at the customerProbe clients for other opportunities, be a trustworthy account managerFlexibly interact with client’s ways of working, agile toolingCreate project documentationFacilitate post project meetings to establish project takeawaysCoach squad members on projects and in their goalsEnable teamwork and group cohesionEnsure clear responsibilities and quality of delivery on projectsWHY YOUExcellent verbal and written communication in English and DutchMaster’s degree or similar required through relevant experiencemin. 4 years of experience as a project manager in IT, strong track record in managing data-projectsExperience with agile project management methodologies and toolsAbility to understand and refine client requirementsAbility to hold team members accountable for goals, and take responsibility for the workAbility to plan, schedule, coordinate, and organize an interdisciplinary teamFamiliarity with data processing, machine learning is a strong plusFlexible, curious and willing to embrace change for the betterWHY ML6Our 'people first' culture is how we bring innovation to life. We've built a place where we truly love working, and we think you will too. Here’s what you can expect:Impactful work: Join a team dedicated to delivering real-world value and positive change through technologyGrowth & learning: We invest in your development with opportunities to work on diverse, challenging projects and dedicated learning tracks and opportunitiesA culture of trust: Thrive in an inclusive environment built on trust and transparent communication, where every voice is heard and valuedRewarding you: We offer an attractive OTE salary package and an optimized benefits program that reflects your expertise and impact. You can view our rewarding philosophy and offerings here",Belgium
4287960170,"Join Faktion, a leader in designing and developing enterprise-level AI solutions across various sectors. In the role of A.I. Project Manager, you'll play a pivotal role in ensuring project objectives are meticulously aligned with our clients' desires and requirements, while efficiently managing resources, timelines, and various project needs. You'll be at the forefront, collaborating with a team of exceptional machine learning experts to bring forth groundbreaking AI innovations. Your responsibilities include identifying and pursuing (advanced) analytics opportunities, overseeing their implementation, and ensuring their successful integration into production. You possess a keen ability to understand and interpret corporate needs, converting them into robust analytics solutions with a clear projection of ROI. Your critical eye evaluates business cases, implementation strategies, and project feasibility to provide our clients with unparalleled guidance in shaping their AI strategies. As a key player in the development process, you will guide our data (science) team, simplifying complex concepts into business-relevant insights. In addition, you'll co-lead a team of skilled data scientists, ensuring each project is executed with precision and excellence.Some key responsibilities:Identify requirements with clients and stakeholders using ideation and prioritization techniques (e.g. interviews, workshops, refinements)Translate client's requirements and preferences into tangible goals for the technical teamCreate task backlog and planningCheck deliverables and follow up resource planning, timelines and budgetsSet up and coordinate meetings with stakeholders and technical expertsSafeguard user, technical, legal, ethical, security and other requirementsEffectively pitch solutions, present results - adjust complex technical messaging to the audience at the customerProbe clients for other opportunitiesFlexibly interact with client's ways of working, agile toolingCreate project documentationFacilitate post project meetings to establish project takeawaysCoach squad members on projects and in their goalsEnsure clear responsibilities and quality of delivery on projectsYou are a born communicator with excellent verbal and written communication skills in native-Dutch and English (French is a plus)You can provide multiple references in which you played a role in defining, creating and implementing AI and ML solutionsMaster’s degree or similar required through relevant experienceYou know the data science lifecycle with its major challenges and can offer advice in this areaYou can explain most concepts and models from the world of AI such as deep learning, computer vision, churn modeling, etc.Min. 5 years of experience as a project manager in IT, strong track record in managing data- or IT-projectsExperience with agile project management methodologies and toolsAbility to understand and refine client requirementsAbility to hold team members accountable for goals, and take responsibility for the workAbility to plan, schedule, coordinate, and organize an interdisciplinary teamFlexible, curious, and willing to embrace change for the better.Following experiences are a plus:Familiarity with data processing, machine learning is a strong plusStrong communication and teamwork abilities.Having worked in corporate environments in similar positionsNotions of the following languages: Python, R, JavaScript, Spark, Scala, Java or C++Familiar with basic cloud concepts and tools. Experience with AWS and Azure are considered a plusExperience in mentoring and leading multidisciplinary teams.Experience in one of our focus industries: Manufacturing, FSI, HealthcareWe offer:A rewarding salary package that includes additional perks like a company car and fuel card or a mobility budget, comprehensive hospitalization and group insurance, along with a top-tier laptop and smartphone.Benefit from a company culture that stimulates both individual and team development, fostering your professional growth.Utilize your innovation budget for engaging in exciting, educational, and challenging open-source projects within your guild.Participate in (virtual) team-building activities and gatherings, a great opportunity to unwind and engage with our vibrant team initiatives.A flexible hybrid working-policy to choose where, how, and when you want to work.",Belgium
4316082640,"Who are we?At Fednot, the Royal Federation of Belgian Notaries, we support notaries with legal, technological, and strategic services to help them deliver high-quality service to citizens. Our teams work on innovative solutions that shape the future of the notarial profession in Belgium.To strengthen our Data team, we are looking for a passionate, curious, and business-oriented AI Project Manager to lead high-impact, innovative projects.The job:As AI Project Manager, you will:Identify business opportunities where AI can bring value to the notarial sector, in collaboration with domain experts.Monitor technological developments in AI and translate them into concrete solutions.Challenge proposed solutions, test products, and actively contribute to their improvement.Develop action plans, manage timelines, identify risks, and implement mitigation strategies.Detect project blockers and risks, resolve them directly or escalate appropriately. Know your sphere of influence and when to delegate.Ensure project follow-up and communicate progress clearly and appropriately to different audiences — C-level profiles, architects, technical experts (network, infrastructure, development, data), and business partners.Collaborate with a wide range of stakeholders: legal experts, analysts, IT specialists, developers, data scientists, BI analysts, and more.You want…To contribute to strategic projects that shape the future of the Belgian notariat.To work in a dynamic, collaborative, and committed environment.You have…Knowledge and experience in the field of artificial intelligenceProven experience in managing technological projects, ideally in AI or data.Strong business acumen and the ability to translate business needs into tech solutions.Critical thinking, autonomy, organizational skills, and excellent interpersonal abilities.A hands-on mindset and the ability to engage directly with the technical aspects of a project.We offer…A meaningful role in a forward-thinking organization.A central Brussels location with easy access to public transport.A collaborative and innovative work culture.Where to find us?We’re located right in the center of Brussels, next to the Saint Michel & Gudule Cathedral. The Metro Station is right by the corner and the Central Train Station is just two blocks away.Where are you going to work?Hybrid: In the office (40%) & Homeworking (60%).If you apply with us, your CV and motivation letter, which include identification details, details related to the profession and academic curriculum, will be kept in our database for 3 years for reasons of justified interest (e.g. contacting us for a new job). These data will not be exchanged with third parties, unless there is a legal obligation to do so. You can always exercise all rights included in the GDPR in particular, right to access and information, right to data erasure, right to limitation of processing, right to rectification, right to objection and right to lodge a complaint with the supervising authority, by contacting info@privanot.be. We ensure that all your personal data are treated in accordance with the applicable privacy legislation.",Belgium
4334327541,"The ideal candidate will have experience in managing a project from start to finish. This candidate will be able to create a plan of action which will consider a fixed timeline and evaluate risks. This individual should also have experience managing people and be an effective communicator.  ResponsibilitiesDirect and oversee completion of project Develop plan of action including schedule, resources and work plan Assess risks and establish contingency plans Manage work and inputs from variety of stakeholdersQualificationsBachelor's degree 5+ years of experience in project management or relevant fields Demonstrated ability to deliver a completed project Strong communication skills Experience working with a team",Belgium
4332457001,"Médiane Benelux: Career Booster!Since 2017, and with over 35 years of experience in France and Italy, Médiane Benelux is an engineering company specializing in software, electronics, and cybersecurity across key sectors such as Railways, Automotive, Energy, Medical, Aerospace, Space, Telecoms, Industry, and Defense. What We Offer IT consulting and strategy Digital transformation and IoT solutions Project management and process optimization As specialists in electronics, development, and embedded systems design, we operate from sensor to cloud.Why choose Médiane Benelux? Human-sized company: Promotes teamwork and collaboration in a dynamic and stimulating environment Sharp technical expertise and tailored solutions for each sector Talent support: Personalized follow-up, continuous training, and skill development for our employees Custom solutions tailored to the specific needs of each client Culture of innovation: Participation in innovative and varied projects Ecovadis Gold certification: Commitment to equality, well-being, and responsibility Human values: Commitment, Respect, Trust, Listening""Happy at Work"" and ""Happy Clients"" labels by Choose my Company: A fulfilling work environment and optimal client satisfactionJob DescriptionWe are looking for an experienced AI Project Manager to lead a pilot project integrating Generative AI (GenAI) solutions in a Microsoft Azure environment. The main goal is to develop a chatbot leveraging Large Language Models (LLMs) and RAG to automatically query internal technical documents and support field workers with accurate answers.Your MissionCoordinate the GenAI project with internal teams, business stakeholders, and external partners.Apply Agile methodologies tailored to AI projects, ensuring schedules, budgets, and risks are managed effectively.Facilitate collaboration between AI developers, IT teams, and business lines.Ensure alignment with security, compliance, and company standards.Technical ContextCloud: Microsoft AzureData: Technical documentation hosted on SharePoint Online (PDFs)Architecture: Chatbot with RAG & LLM, secure deployment on AzureKey Technologies: Python, Azure OpenAI, CI/CD, REST API, RAG, IAM/RBACProfile / RequirementsRequired Skills (Must Have)Strong understanding of Agent Systems and autonomous agents.Experience with Chatbots / RAG integration.Proven experience with Large Language Models (LLMs) in real projects.IT Project Management: 5+ years managing complex IT projects, including AI initiatives.Additional Skills (Should Have)Hands-on experience in GenAI applied to technical documentation.Master's degree in IT or related field.Languages: Fluent in English, French or Dutch is a plus.BenefitsAttractive salary package, additional legal days off, mobility package (transport or car), DKV, Group Insurance, Meal vouchers, Eco vouchers, Training opportunities.",Belgium
