Category,Sub-Category,Mean Mentions per Ad,Share of All Mentions (%),Category Total (%)
Core Competencies,Project Management,3.3,30.6,70.0
Core Competencies,Leadership And Soft Skills,2.3,21.5,
Core Competencies,Domain And Business,0.9,8.2,
Core Competencies,Adaptability,0.6,5.2,
Core Competencies,Change Management,0.5,4.5,
Technical Competencies,Conceptual AI Knowledge,0.7,6.7,30.0
Technical Competencies,Technical Operation,0.6,5.6,
Technical Competencies,Generative AI,0.6,5.2,
Technical Competencies,Hands-On Technical Skills,0.5,4.2,
Technical Competencies,Data Operation,0.3,3.1,
Technical Competencies,AI Evaluation,0.2,1.9,
Technical Competencies,Agentic AI,0.2,1.6,
Technical Competencies,Enterprise Platforms,0.1,1.2,
Technical Competencies,Financial Operations,0.0,0.4,
Technical Competencies,Advanced AI,0.0,0.1,
