category_code,definition,frequency,percentage
CORE-BUSINESS,"Mention of business acumen, strategy, or commercial awareness",45,95.74468085106383
SS-LEADERSHIP,"Mention of team leadership, collaboration, or mentorship",44,93.61702127659575
PM-PLAN,"Mention of project planning, scheduling, or resource management",44,93.61702127659575
SS-STAKEHOLDER,"Mention of stakeholder communication, management, or engagement",44,93.61702127659575
CORE-ADAPT,"Mention of adaptability, continuous learning, or thriving in a fast-paced environment",34,72.3404255319149
PM-RISK,"Mention of risk identification, assessment, or mitigation",29,61.702127659574465
PM-METHOD,"Mention of Agile, Scrum, Kanban, Waterfall, or related methodologies",21,44.680851063829785
SS-CONFLICT,Mention of conflict resolution or negotiation skills,18,38.297872340425535
PM-BUDGET,"Mention of budget management, financial oversight, or cost control",14,29.78723404255319
CONTEXT-COMPLEX,"Mention of managing complex, ambiguous, or innovative projects",10,21.27659574468085
EXP_ROLE,Explicitly stated responsibilities and duties of the position,8,17.02127659574468
PM-TOOL,Mention of proficiency or experience with specific project management tools,7,14.893617021276595
other,,5,10.638297872340425
TECH-CONCEPT,"Mention of understanding or familiarity with AI/ML, data, math, ai product lifecycle concepts",3,6.382978723404255
TECH-OPS,"Mention of technical operations such as MLOps, CI/CD for AI, model deployment, or production systems",3,6.382978723404255
EXP-INDUSTRY,Requirement for experience in a specific technical skill or role or industry,2,4.25531914893617
CONTEXT-REG,Mention of specific regulations,2,4.25531914893617
EXP-PM-YRS,Specific number of years of project management experience required,1,2.127659574468085
