id,degree_centrality,betweenness_centrality,community,definition,construct,category
"('CONTEXT-COMPLEX', 'CORE-ADAPT')",1,0.0,0,,,
CORE-ADAPT,8,2.6772607148037506e-06,0,"Mention of adaptability, continuous learning, or thriving in a fast-paced environment",Core Competencies,Adaptability
"('CONTEXT-COMPLEX', 'CORE-BUSINESS')",1,0.0,3,,,
CORE-BUSINESS,9,3.4421923476048223e-06,3,"Mention of business acumen, strategy, or commercial awareness",Core Competencies,Domain and Business
"('CONTEXT-COMPLEX', 'EXP-AI-YRS')",1,0.0,5,,,
EXP-AI-YRS,12,6.310685970608841e-06,5,Specific number of years of AI/ML project experience required,Employer Expectations,Experience
"('CONTEXT-COMPLEX', 'EXP-INDUSTRY')",1,0.0,6,,,
EXP-INDUSTRY,13,7.458083419810449e-06,6,Requirement for experience in a specific technical skills or roles or industry,Employer Expectations,Experience
"('CONTEXT-COMPLEX', 'EXP-PM-YRS')",1,0.0,84,,,
EXP-PM-YRS,14,8.701097323112189e-06,84,Specific number of years of project management experience required,Employer Expectations,Experience
"('CONTEXT-COMPLEX', 'EXP_ROLE')",1,0.0,11,,,
EXP_ROLE,15,1.0039727680514065e-05,11,Explicitly stated responsibilities and duties of the position,Employer Expectations,Role
"('CONTEXT-COMPLEX', 'PM-BUDGET')",1,0.0,13,,,
PM-BUDGET,13,7.458083419810449e-06,13,"Mention of budget management, financial oversight, or cost control",Core Competencies,Project Management
"('CONTEXT-COMPLEX', 'PM-PLAN')",1,0.0,15,,,
PM-PLAN,19,1.6350413651122904e-05,15,"Mention of project planning, scheduling, or resource management",Core Competencies,Project Management
"('CONTEXT-COMPLEX', 'PM-RISK')",1,0.0,17,,,
PM-RISK,18,1.4629317477320495e-05,17,"Mention of risk identification, assessment, or mitigation",Core Competencies,Project Management
"('CONTEXT-COMPLEX', 'PM-TOOL')",1,0.0,135,,,
PM-TOOL,17,1.3003837757618217e-05,135,Mention of proficiency or experience with specific project management tools,Core Competencies,Project Management
"('CONTEXT-COMPLEX', 'QUAL-PREF')",1,0.0,21,,,
QUAL-PREF,20,1.8167126279025452e-05,21,Preferred or required educational degree from employers,Employer Expectations,Qualifications
"('CONTEXT-COMPLEX', 'SS-LEADERSHIP')",1,0.0,23,,,
SS-LEADERSHIP,24,2.6390141331636972e-05,23,"Mention of team leadership, collaboration, or mentorship",Core Competencies,Leadership and Soft Skills
"('CONTEXT-COMPLEX', 'SS-STAKEHOLDER')",1,0.0,25,,,
SS-STAKEHOLDER,25,2.8684936230040185e-05,25,"Mention of stakeholder communication, management, or engagement",Core Competencies,Leadership and Soft Skills
"('CONTEXT-COMPLEX', 'TECH-CONCEPT')",1,0.0,27,,,
